theta,A2,a,b,z,phi,status
30.0,-20.0,9.8,8.4,0.4,0.0,NotYet
30.0,-20.0,9.8,8.4,0.4,10.0,NotYet
30.0,-20.0,9.8,8.4,0.4,20.0,NotYet
30.0,-20.0,9.8,8.4,0.4,30.0,NotYet
30.0,-20.0,9.8,8.4,0.4,40.0,NotYet
30.0,-20.0,9.8,8.4,0.4,50.0,NotYet
30.0,-20.0,9.8,8.4,0.4,60.0,NotYet
30.0,-20.0,9.8,8.4,0.4,70.0,NotYet
30.0,-20.0,9.8,8.4,0.4,80.0,NotYet
30.0,-20.0,9.8,8.4,0.4,90.0,NotYet
30.0,-20.0,9.8,8.4,0.4,100.0,NotYet
30.0,-20.0,9.8,8.4,0.4,110.0,NotYet
30.0,-20.0,6.2,10.8,0.6,0.0,NotYet
30.0,-20.0,6.2,10.8,0.6,10.0,NotYet
30.0,-20.0,6.2,10.8,0.6,20.0,NotYet
30.0,-20.0,6.2,10.8,0.6,30.0,NotYet
30.0,-20.0,6.2,10.8,0.6,40.0,NotYet
30.0,-20.0,6.2,10.8,0.6,50.0,NotYet
30.0,-20.0,6.2,10.8,0.6,60.0,NotYet
30.0,-20.0,6.2,10.8,0.6,70.0,NotYet
30.0,-20.0,6.2,10.8,0.6,80.0,NotYet
30.0,-20.0,6.2,10.8,0.6,90.0,NotYet
30.0,-20.0,6.2,10.8,0.6,100.0,NotYet
30.0,-20.0,6.2,10.8,0.6,110.0,NotYet
30.0,-20.0,13.8,6.1,0.8,0.0,NotYet
30.0,-20.0,13.8,6.1,0.8,10.0,NotYet
30.0,-20.0,13.8,6.1,0.8,20.0,NotYet
30.0,-20.0,13.8,6.1,0.8,30.0,NotYet
30.0,-20.0,13.8,6.1,0.8,40.0,NotYet
30.0,-20.0,13.8,6.1,0.8,50.0,NotYet
30.0,-20.0,13.8,6.1,0.8,60.0,NotYet
30.0,-20.0,13.8,6.1,0.8,70.0,NotYet
30.0,-20.0,13.8,6.1,0.8,80.0,NotYet
30.0,-20.0,13.8,6.1,0.8,90.0,NotYet
30.0,-20.0,13.8,6.1,0.8,100.0,NotYet
30.0,-20.0,13.8,6.1,0.8,110.0,NotYet
30.0,-20.0,13.6,6.0,1.0,0.0,NotYet
