a,b,theta,z,A2,phi,status
6.1,8.4,60.0,-4.0,-14.0,40.0,NotYet
6.1,8.4,60.0,-4.0,-14.0,50.0,NotYet
6.1,8.4,60.0,-4.0,-14.0,60.0,NotYet
6.1,8.4,60.0,-4.0,-14.0,70.0,NotYet
6.1,8.4,60.0,-4.0,-14.0,80.0,NotYet
6.1,8.4,60.0,-4.0,-14.0,90.0,NotYet
6.1,8.4,60.0,-4.0,-14.0,100.0,NotYet
6.1,8.4,60.0,-4.0,-14.0,110.0,NotYet
6.1,8.4,60.0,-4.0,-14.0,120.0,NotYet
6.1,8.4,60.0,-4.0,-12.0,0.0,NotYet
6.1,8.4,60.0,-4.0,-12.0,10.0,NotYet
6.1,8.4,60.0,-4.0,-12.0,20.0,NotYet
6.1,8.4,60.0,-4.0,-12.0,30.0,NotYet
6.1,8.4,60.0,-4.0,-12.0,40.0,NotYet
6.1,8.4,60.0,-4.0,-12.0,50.0,NotYet
6.1,8.4,60.0,-4.0,-12.0,60.0,NotYet
6.1,8.4,60.0,-4.0,-12.0,70.0,NotYet
6.1,8.4,60.0,-4.0,-12.0,80.0,NotYet
6.1,8.4,60.0,-4.0,-12.0,90.0,NotYet
6.1,8.4,60.0,-4.0,-12.0,100.0,NotYet
6.1,8.4,60.0,-4.0,-12.0,110.0,NotYet
6.1,8.4,60.0,-4.0,-12.0,120.0,NotYet
6.1,8.4,60.0,-4.0,-10.0,0.0,NotYet
6.1,8.4,60.0,-4.0,-10.0,10.0,NotYet
6.1,8.4,60.0,-4.0,-10.0,20.0,NotYet
6.1,8.4,60.0,-4.0,-10.0,30.0,NotYet
6.1,8.4,60.0,-4.0,-10.0,40.0,NotYet
6.1,8.4,60.0,-4.0,-10.0,50.0,NotYet
6.1,8.4,60.0,-4.0,-10.0,60.0,NotYet
6.1,8.4,60.0,-4.0,-10.0,70.0,NotYet
6.1,8.4,60.0,-4.0,-10.0,80.0,NotYet
6.1,8.4,60.0,-4.0,-10.0,90.0,NotYet
6.1,8.4,60.0,-4.0,-10.0,100.0,NotYet
6.1,8.4,60.0,-4.0,-10.0,110.0,NotYet
6.1,8.4,60.0,-4.0,-10.0,120.0,NotYet
6.1,8.4,60.0,-4.0,-8.0,0.0,NotYet
6.1,8.4,60.0,-4.0,-8.0,10.0,NotYet
6.1,8.4,60.0,-4.0,-8.0,20.0,NotYet
6.1,8.4,60.0,-4.0,-8.0,30.0,NotYet
6.1,8.4,60.0,-4.0,-8.0,40.0,NotYet
6.1,8.4,60.0,-4.0,-8.0,50.0,NotYet
6.1,8.4,60.0,-4.0,-8.0,60.0,NotYet
6.1,8.4,60.0,-4.0,-8.0,70.0,NotYet
6.1,8.4,60.0,-4.0,-8.0,80.0,NotYet
6.1,8.4,60.0,-4.0,-8.0,90.0,NotYet
6.1,8.4,60.0,-4.0,-8.0,100.0,NotYet
6.1,8.4,60.0,-4.0,-8.0,110.0,NotYet
6.1,8.4,60.0,-4.0,-8.0,120.0,NotYet
6.1,8.4,60.0,-4.0,-6.0,0.0,NotYet
6.1,8.4,60.0,-4.0,-6.0,10.0,NotYet
6.1,8.4,60.0,-4.0,-6.0,20.0,NotYet
6.1,8.4,60.0,-4.0,-6.0,30.0,NotYet
6.1,8.4,60.0,-4.0,-6.0,40.0,NotYet
6.1,8.4,60.0,-4.0,-6.0,50.0,NotYet
6.1,8.4,60.0,-4.0,-6.0,60.0,NotYet
6.1,8.4,60.0,-4.0,-6.0,70.0,NotYet
